"CrossName","BrCrCode","Synonym","sexTestRes","Program","Subprogram","Concept","Funding","Contract","Breeder","Planted","nonPsa","PsaDeaths","Remaining","Percent_Remaining"
"K12.0227","PX_287","PX_287","Female","Gold","2x Yellow","","Commercial","NC1401","Russell Lowe","145","0","72","73","50.34"
"K12.0227","PX_287","PX_287","Male","Gold","2x Yellow","","Commercial","NC1401","Russell Lowe","98","0","36","62","63.27"
"K12.0227","PX_287","PX_287","Unknown","Gold","2x Yellow","","Commercial","NC1401","Russell Lowe","1","0","0","1","100"
"rLG_287","rLG_287","","","Gold","2x Yellow","","Parental","PT1301","Luis Gea","249","0","184","65","26.1"
"K13.0238","rKG_214","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","2","0","2","0","0"
"K13.0233","rKG_237","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","3","0","0","3","100"
"K13.0228","rKG_238","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","16","0","7","9","56.25"
"K13.0242","rKG_248","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","6","0","4","2","33.33"
"K13.0231","rKG_297","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","2","0","0","2","100"
"K13.0232","rKG_381","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","12","0","4","8","66.67"
"K13.0229","rKG_390","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","31","0","8","23","74.19"
"K13.0240","rKG_393","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","4","0","2","2","50"
"K13.0239","rKG_404","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","7","0","0","7","100"
"K13.0230","rKG_406","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","6","0","1","5","83.33"
"K13.0208","rLQ_214","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","31","0","22","9","29.03"
"K13.0203","rLQ_237","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","19","0","14","5","26.32"
"K13.0206","rLQ_295","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","29","0","18","11","37.93"
"K13.0201","rLQ_297","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","27","0","16","11","40.74"
"K13.0204","rLQ_365","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","28","0","23","5","17.86"
"K13.0205","rLQ_389","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","16","0","13","3","18.75"
"K13.0199","rLQ_390","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","21","0","10","11","52.38"
"K13.0210","rLQ_393","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","32","0","14","18","56.25"
"K13.0200","rLQ_406","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","22","0","14","8","36.36"
"K13.0271","rLS_225","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","27","0","22","5","18.52"
"K13.0263","rLS_237","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","37","0","31","6","16.22"
"K13.0272","rLS_248","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","39","0","23","16","41.03"
"K13.0266","rLS_295","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","25","0","19","6","24"
"K13.0261","rLS_297","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","32","0","23","9","28.12"
"K13.0264","rLS_365","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","8","0","7","1","12.5"
"K13.0262","rLS_381","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","30","0","24","6","20"
"K13.0265","rLS_389","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","38","0","27","11","28.95"
"K13.0259","rLS_390","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","17","0","8","9","52.94"
"K13.0270","rLS_393","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","25","0","11","14","56"
"K13.0269","rLS_404","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","26","0","21","5","19.23"
"K13.0181","rNS_225","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","4","0","3","1","25"
"K13.0182","rNS_248","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","11","0","5","6","54.55"
"K13.0176","rNS_295","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","27","0","6","21","77.78"
"K13.0171","rNS_297","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","31","0","10","21","67.74"
"K13.0174","rNS_365","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","14","0","9","5","35.71"
"K13.0172","rNS_381","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","32","0","13","19","59.38"
"K13.0175","rNS_389","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","12","0","3","9","75"
"K13.0169","rNS_390","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","31","0","6","25","80.65"
"K13.0180","rNS_393","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","19","0","5","14","73.68"
"K13.0179","rNS_404","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","17","0","6","11","64.71"
"K13.0170","rNS_406","","","Gold","4x Yellow","","Parental","PT1501","Russell Lowe","17","0","4","13","76.47"
"K12.0756","rJR_225","rJR_225","","Gold","4x Yellow","","","PT1501","Russell Lowe","20","0","11","9","45"
"K12.0757","rJR_227","rJR_227","","Gold","4x Yellow","","","PT1501","Russell Lowe","26","0","16","10","38.46"
"K12.0757","rJR_227","rJR_227","","Gold","4x Yellow","","","NC1401","Russell Lowe","1","0","1","0","0"
"K12.0754","rJR_375","rJR_375","","Gold","4x Yellow","","","PT1501","Russell Lowe","26","0","5","21","80.77"
"K13.0203","rLQ_237","","Female","Gold","4x Yellow","","","PT1501","Russell Lowe","17","0","14","3","17.65"
"K13.0203","rLQ_237","","Negative","Gold","4x Yellow","","","PT1501","Russell Lowe","3","0","1","2","66.67"
"K13.0199","rLQ_390","","Female","Gold","4x Yellow","","","PT1501","Russell Lowe","20","0","10","10","50"
"K13.0210","rLQ_393","","Female","Gold","4x Yellow","","","PT1501","Russell Lowe","14","0","7","7","50"
"K13.0210","rLQ_393","","Negative","Gold","4x Yellow","","","PT1501","Russell Lowe","1","0","0","1","100"
"K13.0200","rLQ_406","","Female","Gold","4x Yellow","","","PT1501","Russell Lowe","13","0","8","5","38.46"
"K13.0200","rLQ_406","","Negative","Gold","4x Yellow","","","PT1501","Russell Lowe","1","0","1","0","0"
"K13.0261","rLS_297","","Female","Gold","4x Yellow","","","PT1501","Russell Lowe","15","0","10","5","33.33"
"K13.0261","rLS_297","","Negative","Gold","4x Yellow","","","PT1501","Russell Lowe","1","0","1","0","0"
"K13.0259","rLS_390","","Female","Gold","4x Yellow","","","PT1501","Russell Lowe","11","0","4","7","63.64"
"K12.0750","rNT_225","rNT_225","","Gold","4x Yellow","","","PT1501","Russell Lowe","26","0","15","11","42.31"
"K12.0751","rNT_227","rNT_227","","Gold","4x Yellow","","","PT1501","Russell Lowe","40","0","23","17","42.5"
"K12.0748","rNT_375","rNT_375","","Gold","4x Yellow","","","PT1501","Russell Lowe","32","0","26","6","18.75"
"K12.0749","rNT_376","rNT_376","","Gold","4x Yellow","","","PT1501","Russell Lowe","38","0","22","16","42.11"
"K12.0747","rNT_377","rNT_377","","Gold","4x Yellow","","","PT1501","Russell Lowe","35","0","18","17","48.57"
"K12.0746","rNT_380","rNT_380","","Gold","4x Yellow","","","PT1501","Russell Lowe","44","0","13","31","70.45"
"T01/RL/b13/F04","T01/RL/b13/F04","Yellow 3; T02.13-15-14g; G3; ZesY002; Y3","","Gold","4x Yellow","","","","Russell Lowe","4","0","0","4","100"
"","Hayward","","","Green","Control(toDEL)","","","","","7","0","0","7","100"
"T02/HM/b52/B12","T02/HM/b52/B12","Green 11","","Green","Control(toDEL)","","","","Hinga Marsh","7","0","0","7","100"
"K13.0586","DB_532","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","7","0","1","6","85.71"
"K13.0572","DD_534","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","5","0","0","5","100"
"K13.0688","JQ_550","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","36","0","1","35","97.22"
"K13.0690","JQ_75","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","28","0","0","0"
"K13.0690","JQ_75","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","20","0","7","13","65"
"K13.0672","KY_75","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","28","0","0","0"
"K13.0672","KY_75","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","22","0","1","21","95.45"
"K13.1177","QH_532","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","47","1","20","26","55.32"
"K13.0823","QJ_532","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","3","0","1","2","66.67"
"K13.0692","QL_75","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","28","0","0","0"
"K13.0692","QL_75","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","19","0","1","18","94.74"
"K13.0655","QS_549","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","15","0","2","13","86.67"
"K13.0654","QS_551","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","35","0","0","35","100"
"K13.0663","QT_554","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","27","0","1","3.57"
"K13.0663","QT_554","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","23","0","0","23","100"
"K13.0751","QU_549","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","21","0","1","20","95.24"
"K13.0752","QU_75","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","28","0","0","0"
"K13.0752","QU_75","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","11","0","2","9","81.82"
"K13.0658","QW_548","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","28","0","1","27","96.43"
"K13.0665","QX_551","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","21","0","1","20","95.24"
"K13.0629","QY_552","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","47","0","2","45","95.74"
"K13.0619","QZ_553","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","29","27","0","2","6.9"
"K13.0619","QZ_553","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","27","0","0","27","100"
"K13.0620","QZ_554","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","27","0","1","3.57"
"K13.0620","QZ_554","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","28","0","1","27","96.43"
"K13.0616","RA_146","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","29","29","0","0","0"
"K13.0616","RA_146","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","28","0","0","28","100"
"K13.0613","RA_551","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","35","0","0","35","100"
"K13.0636","RB_554","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","28","0","0","0"
"K13.0636","RB_554","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","14","0","1","13","92.86"
"K13.0649","RC_554","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","8","8","0","0","0"
"K13.0649","RC_554","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","8","0","0","8","100"
"K13.0676","RD_554","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","10","10","0","0","0"
"K13.0676","RD_554","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","10","0","0","10","100"
"K13.0677","RE_552","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","34","0","3","31","91.18"
"K13.0660","RF_548","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","43","0","2","41","95.35"
"K13.0644","RG_550","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","40","0","0","40","100"
"K13.0680","RJ_75","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","27","0","1","3.57"
"K13.0680","RJ_75","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","10","0","1","9","90"
"K13.0627","RK_548","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","34","0","0","34","100"
"K13.0626","RK_551","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","16","0","1","15","93.75"
"K13.0625","RK_554","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","23","23","0","0","0"
"K13.0625","RK_554","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","7","0","0","7","100"
"rKS167","rKS167","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","28","0","4","24","85.71"
"rKS170","rKS170","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","28","0","3","25","89.29"
"K13.0639","RL_549","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","41","0","0","41","100"
"K13.0653","RM_111","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","21","0","0","21","100"
"K13.0622","RN_548","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","21","0","0","21","100"
"K13.0624","RN_554","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","33","33","0","0","0"
"K13.0624","RN_554","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","32","0","0","32","100"
"K13.0641","RP_549","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","21","0","0","21","100"
"K13.0684","RQ_548","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","21","0","1","20","95.24"
"K13.0686","RQ_554","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","28","0","0","0"
"K13.0686","RQ_554","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","28","0","2","26","92.86"
"K13.0685","RQ_75","","","Green","Green","","Parental","PT1501","Elizabeth Popowski","28","28","0","0","0"
"K13.0685","RQ_75","","","Green","Green","","Parental","PT1601","Elizabeth Popowski","21","0","0","21","100"
"K13.0688","JQ_550","","","Green","Green","","","","Elizabeth Popowski","14","0","1","13","92.86"
"K12.0915","PJ_153","PJ_153","","Green","Green","","","PT1401","Elizabeth Popowski","51","1","4","46","90.2"
"K12.0913","PJ_187","PJ_187","","Green","Green","","","PT1401","Elizabeth Popowski","27","0","2","25","92.59"
"K12.0914","PJ_21","PJ_21","","Green","Green","","","PT1401","Elizabeth Popowski","45","0","3","42","93.33"
"K12.0911","PJ_28","PJ_28","","Green","Green","","","PT1401","Elizabeth Popowski","44","0","4","40","90.91"
"K12.0912","PJ_29","PJ_29","","Green","Green","","","PT1401","Elizabeth Popowski","41","0","1","40","97.56"
"K12.0950","PM_153","PM_153","","Green","Green","","","PT1401","Elizabeth Popowski","49","1","7","41","83.67"
"K12.0948","PM_21","PM_21","","Green","Green","","","PT1401","Elizabeth Popowski","39","1","7","31","79.49"
"K12.0953","PM_518","PM_518","","Green","Green","","","PT1401","Elizabeth Popowski","34","0","5","29","85.29"
"K12.0907","PN_518","PN_518","","Green","Green","","","PT1401","Elizabeth Popowski","48","1","18","29","60.42"
"K12.0901","PR_153","PR_153","","Green","Green","","","PT1401","Elizabeth Popowski","57","0","11","46","80.7"
"K12.0900","PR_187","PR_187","","Green","Green","","","PT1401","Elizabeth Popowski","35","0","0","35","100"
"K12.0899","PR_518","PR_518","","Green","Green","","","PT1401","Elizabeth Popowski","46","0","4","42","91.3"
"K12.0942","PT_194","PT_194","","Green","Green","","","PT1401","Elizabeth Popowski","42","0","0","42","100"
"K12.0941","PT_28","PT_28","","Green","Green","","","PT1401","Elizabeth Popowski","54","0","8","46","85.19"
"K12.0947","PT_39","PT_39","","Green","Green","","","PT1401","Elizabeth Popowski","36","0","0","36","100"
"K12.0940","PT_518","PT_518","","Green","Green","","","PT1401","Elizabeth Popowski","18","0","2","16","88.89"
"K12.0925","PW_187","PW_187","","Green","Green","","","PT1401","Elizabeth Popowski","73","3","5","65","89.04"
"K12.0930","PW_194","PW_194","","Green","Green","","","PT1401","Elizabeth Popowski","44","1","1","42","95.45"
"K12.0931","PW_28","PW_28","","Green","Green","","","PT1401","Elizabeth Popowski","49","1","6","42","85.71"
"K13.0654","QS_551","","","Green","Green","","","","Elizabeth Popowski","7","0","0","7","100"
"K13.0751","QU_549","","","Green","Green","","","","Elizabeth Popowski","7","0","1","6","85.71"
"K13.0665","QX_551","","","Green","Green","","","","Elizabeth Popowski","7","0","0","7","100"
"K13.0677","RE_552","","","Green","Green","","","","Elizabeth Popowski","13","0","2","11","84.62"
"K13.0660","RF_548","","","Green","Green","","","","Elizabeth Popowski","7","0","1","6","85.71"
"K13.0644","RG_550","","","Green","Green","","","","Elizabeth Popowski","7","0","0","7","100"
"K13.0627","RK_548","","","Green","Green","","","","Elizabeth Popowski","11","0","0","11","100"
"K13.0639","RL_549","","","Green","Green","","","","Elizabeth Popowski","8","0","1","7","87.5"
"K13.0653","RM_111","","","Green","Green","","","","Elizabeth Popowski","13","0","0","13","100"
"K13.0622","RN_548","","","Green","Green","","","","Elizabeth Popowski","7","0","1","6","85.71"
"K13.0641","RP_549","","","Green","Green","","","","Elizabeth Popowski","14","0","0","14","100"
"K13.0684","RQ_548","","","Green","Green","","","","Elizabeth Popowski","7","0","0","7","100"
"K13.0586","DB_532","","","Hybrid","Hybrid(toDEL)","","Parental","PT1501","Elizabeth Popowski","14","5","1","8","57.14"
"K13.0572","DD_534","","","Hybrid","Hybrid(toDEL)","","Parental","PT1501","Elizabeth Popowski","5","5","0","0","0"
